Product,Name,Rating,CommentHead,Comment
redminote10,Pavan kalyan,5,Classy product,Very nice mobile camera superb and excellent performance thank you redmi smart phone company i loved so much ☺️
redminote10,Ranjan  Bishwas,3,Nice,I would like to thanks Mi company for a all Phones of Mi best. I have a Redmi Note 10 lite Glacier set.Camera is the best this set. Everything is better than other phone.
redminote10,Rahul  Singhal,3,Does the job,"I was excited because of snapdragon 720G but now disappointed. Go for Realme 8...that is better than this Note 10 lite.I ordered this phone for my father.My mother is using Realme 8Realme 8 is not good in terms of camera. But Battery life, performance, touch experience is better in Realme 8.When I compared both the phones for performance, I found Realme 8 too much better.I am Sad because Now I have this Note 10 lite.Go for Realme 8 without a doubt."
redminote10,Srinath Yadav,5,Terrific purchase,Good Camera Hai
redminote10,Saju C.s,5,Simply awesome,"Camera quality is ok,Vedio quality is great in 4k,Sound quality is great,Speaker quality is great,Perfomence is great,I prefer 4gb ram,128 gb for value for money."
redminote10,Dharani  Das,5,Simply awesome,Nice phone
redminote10,Kavitha R Gowda ,5,Highly recommended,Very nice mobile
redminote10,Banshi Lal,5,Awesome,Nice
redminote10,Flipkart Customer,5,Excellent,I am happy 😊
redminote10,Vinod  Kumar,1,Not recommended at all,Hanging problem
redminote10,No Name,No Rating,No Comment Heading,Hanging problem
redminote10,Pavan kalyan,5,Classy product,Very nice mobile camera superb and excellent performance thank you redmi smart phone company i loved so much ☺️
redminote10,Ranjan  Bishwas,3,Nice,I would like to thanks Mi company for a all Phones of Mi best. I have a Redmi Note 10 lite Glacier set.Camera is the best this set. Everything is better than other phone.
redminote10,Rahul  Singhal,3,Does the job,"I was excited because of snapdragon 720G but now disappointed. Go for Realme 8...that is better than this Note 10 lite.I ordered this phone for my father.My mother is using Realme 8Realme 8 is not good in terms of camera. But Battery life, performance, touch experience is better in Realme 8.When I compared both the phones for performance, I found Realme 8 too much better.I am Sad because Now I have this Note 10 lite.Go for Realme 8 without a doubt."
redminote10,Srinath Yadav,5,Terrific purchase,Good Camera Hai
redminote10,Saju C.s,5,Simply awesome,"Camera quality is ok,Vedio quality is great in 4k,Sound quality is great,Speaker quality is great,Perfomence is great,I prefer 4gb ram,128 gb for value for money."
redminote10,Dharani  Das,5,Simply awesome,Nice phone
redminote10,Kavitha R Gowda ,5,Highly recommended,Very nice mobile
redminote10,Banshi Lal,5,Awesome,Nice
redminote10,Flipkart Customer,5,Excellent,I am happy 😊
redminote10,Vinod  Kumar,1,Not recommended at all,Hanging problem
redminote10,No Name,No Rating,No Comment Heading,Hanging problem
redminote10,Pavan kalyan,5,Classy product,Very nice mobile camera superb and excellent performance thank you redmi smart phone company i loved so much ☺️
redminote10,Ranjan  Bishwas,3,Nice,I would like to thanks Mi company for a all Phones of Mi best. I have a Redmi Note 10 lite Glacier set.Camera is the best this set. Everything is better than other phone.
redminote10,Rahul  Singhal,3,Does the job,"I was excited because of snapdragon 720G but now disappointed. Go for Realme 8...that is better than this Note 10 lite.I ordered this phone for my father.My mother is using Realme 8Realme 8 is not good in terms of camera. But Battery life, performance, touch experience is better in Realme 8.When I compared both the phones for performance, I found Realme 8 too much better.I am Sad because Now I have this Note 10 lite.Go for Realme 8 without a doubt."
redminote10,Srinath Yadav,5,Terrific purchase,Good Camera Hai
redminote10,Saju C.s,5,Simply awesome,"Camera quality is ok,Vedio quality is great in 4k,Sound quality is great,Speaker quality is great,Perfomence is great,I prefer 4gb ram,128 gb for value for money."
redminote10,Dharani  Das,5,Simply awesome,Nice phone
redminote10,Kavitha R Gowda ,5,Highly recommended,Very nice mobile
redminote10,Banshi Lal,5,Awesome,Nice
redminote10,Flipkart Customer,5,Excellent,I am happy 😊
redminote10,Vinod  Kumar,1,Not recommended at all,Hanging problem
redminote10,No Name,No Rating,No Comment Heading,Hanging problem
redminote10,Pavan kalyan,5,Classy product,Very nice mobile camera superb and excellent performance thank you redmi smart phone company i loved so much ☺️
redminote10,Ranjan  Bishwas,3,Nice,I would like to thanks Mi company for a all Phones of Mi best. I have a Redmi Note 10 lite Glacier set.Camera is the best this set. Everything is better than other phone.
redminote10,Rahul  Singhal,3,Does the job,"I was excited because of snapdragon 720G but now disappointed. Go for Realme 8...that is better than this Note 10 lite.I ordered this phone for my father.My mother is using Realme 8Realme 8 is not good in terms of camera. But Battery life, performance, touch experience is better in Realme 8.When I compared both the phones for performance, I found Realme 8 too much better.I am Sad because Now I have this Note 10 lite.Go for Realme 8 without a doubt."
redminote10,Srinath Yadav,5,Terrific purchase,Good Camera Hai
redminote10,Saju C.s,5,Simply awesome,"Camera quality is ok,Vedio quality is great in 4k,Sound quality is great,Speaker quality is great,Perfomence is great,I prefer 4gb ram,128 gb for value for money."
redminote10,Dharani  Das,5,Simply awesome,Nice phone
redminote10,Kavitha R Gowda ,5,Highly recommended,Very nice mobile
redminote10,Banshi Lal,5,Awesome,Nice
redminote10,Flipkart Customer,5,Excellent,I am happy 😊
redminote10,Vinod  Kumar,1,Not recommended at all,Hanging problem
redminote10,No Name,No Rating,No Comment Heading,Hanging problem
redminote10,Pavan kalyan,5,Classy product,Very nice mobile camera superb and excellent performance thank you redmi smart phone company i loved so much ☺️
redminote10,Ranjan  Bishwas,3,Nice,I would like to thanks Mi company for a all Phones of Mi best. I have a Redmi Note 10 lite Glacier set.Camera is the best this set. Everything is better than other phone.
